Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage Turnout
35083,104912,76496,223,51851,99.6,186,0.4,52037,68
35084,115269,93190,267,66542,99.7,190,0.3,66732,71.6
35085,109344,86036,238,59159,99.6,222,0.4,59381,69
35086,102537,78959,233,57159,99.5,264,0.5,57423,72.7
35087,108658,80834,233,49113,99.5,253,0.5,49366,61.1
35089,110596,85377,225,57591,99.6,243,0.4,57834,67.7
35091,106293,81362,232,58125,99.5,267,0.5,58392,71.8
35092,82052,64365,177,43757,99.5,200,0.5,43957,68.3
35094,108826,71847,193,45029,99.1,407,0.9,45436,63.2
35096,101080,65651,169,39188,99.5,216,0.5,39404,60
35098,106733,73580,217,48766,99.4,277,0.6,49043,66.7
35093,104499,70355,195,41556,99.4,248,0.6,41804,59.4
35095,101914,65217,179,41917,99.5,198,0.5,42115,64.6
35097,102646,73347,201,49655,99.5,235,0.5,49890,68
35100,108672,86859,255,57071,99.7,189,0.3,57260,65.9
35099,116307,97975,271,65747,99.7,225,0.3,65972,67.3
35101,82480,79917,228,55148,99.5,268,0.5,55416,69.3
35102,100913,79274,240,53066,99.6,234,0.4,53300,67.2
35103,92048,73050,213,49629,99.6,209,0.4,49838,68.2
35104,110427,81672,222,54491,99.4,324,0.6,54815,67.1
35105,82984,63708,193,42083,99.6,176,0.4,42259,66.3
35106,82827,65195,207,44608,99.6,178,0.4,44786,68.7
35107,83104,61411,183,37271,99.3,266,0.7,37537,61.1
35108,93971,73351,231,50602,99.5,266,0.5,50868,69.3
35109,104017,78540,202,55581,99.5,269,0.5,55850,71.1
35090,103983,78885,205,56972,99.6,252,0.4,57224,72.5
35110,98605,77205,220,55925,99.5,300,0.5,56225,72.8
35111,105450,74742,193,47298,99.1,438,0.9,47736,63.9
35112,103192,81988,229,59849,99.7,198,0.3,60047,73.2
35113,115880,90117,251,63812,99.7,185,0.3,63997,71
35114,122022,92465,248,64516,99.6,235,0.4,64751,70
35115,109680,76301,205,45953,99.5,251,0.5,46204,60.6
35117,118973,86166,228,46905,99.4,284,0.6,47189,54.8
35116,115528,87644,243,53344,99.6,209,0.4,53553,61.1
35118,100277,65832,194,42944,99.3,319,0.7,43263,65.7
35120,116606,72097,189,43706,99.2,362,0.8,44068,61.1
35119,94616,76055,205,47879,99.5,232,0.5,48111,63.3
46001,83814,61327,192,41106,99.6,150,0.4,41256,67.3
46002,81864,64081,177,47157,99.6,195,0.4,47352,73.9
46003,85148,51994,147,29944,99.2,252,0.8,30196,58.1
46004,87374,63926,263,41598,99.6,160,0.4,41758,65.3
46005,85906,65961,185,43086,99.6,182,0.4,43268,65.6
46006,81794,62299,193,43875,99.6,161,0.4,44036,70.7
46007,91019,63180,204,41187,99.6,159,0.4,41346,65.4
46008,88640,66108,177,44745,99.6,169,0.4,44914,67.9
46009,84353,66205,196,48823,99.7,152,0.3,48975,74
46010,91463,72259,271,49363,99.6,216,0.4,49579,68.6
46011,82026,56988,162,33885,99.2,281,0.8,34166,60
