Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Quebec,Saint-Léonard--Saint-Michel,24069,Arezki Malek,Marxist-Leninist,Retired,128,0.3,,,
Quebec,Saint-Maurice--Champlain,24070,François-Philippe Champagne,Liberal,Businessman,24475,41.5,12230,20.7,7
Quebec,Saint-Maurice--Champlain,24070,Jean-Yves Tremblay,NDP,Retired,12245,20.8,,,
Quebec,Saint-Maurice--Champlain,24070,Sacki Carignan Deschamps,Bloc Québécois,Sociologist ,11295,19.2,,,
Quebec,Saint-Maurice--Champlain,24070,Jacques Grenier,Conservative,Life Insurance Investment Advisor,9592,16.3,,,
Quebec,Saint-Maurice--Champlain,24070,Martial Toupin,Green,Organic Farmer,1144,1.9,,,
Quebec,Saint-Maurice--Champlain,24070,Jean-Paul Bédard,Marxist-Leninist,Retired,196,0.3,,,
Quebec,Salaberry--Suroît,24071,Anne Minh-Thu Quach,NDP,French Secondary School Teacher,18726,30.4,771,1.3,224
Quebec,Salaberry--Suroît,24071,Robert Sauvé,Liberal,Retired,17955,29.2,,,
Quebec,Salaberry--Suroît,24071,Claude DeBellefeuille,Bloc Québécois,Social Worker,17452,28.4,,,
Quebec,Salaberry--Suroît,24071,Albert De Martin,Conservative,Farmer,6132,10,,,
Quebec,Salaberry--Suroît,24071,Nicola-Silverado Socrates,Green,Trailride Owner-Operator,867,1.4,,,
Quebec,Salaberry--Suroît,24071,Sylvain Larocque,Independent,Electronic Technician,219,0.4,,,
Quebec,Salaberry--Suroît,24071,Patricia Domingos,Strength in Democracy,Financial Controller,184,0.3,,,
Quebec,Shefford,24072,Pierre Breton,Liberal,Human Resources Officer,22957,39,9012,15.3,101
Quebec,Shefford,24072,Claire Mailhot,NDP,Geographer specializing in Social Economy,13945,23.7,,,
Quebec,Shefford,24072,Jocelyn Beaudoin,Bloc Québécois,Jurist,13092,22.2,,,
Quebec,Shefford,24072,Sylvie Fontaine,Conservative,Business woman,7529,12.8,,,
Quebec,Shefford,24072,Simon McMillan,Green,Stay-at-Home Parent,1397,2.4,,,
Quebec,Sherbrooke,24073,Pierre-Luc Dusseault,NDP,Parliamentarian,21410,37.4,4339,7.6,225
Quebec,Sherbrooke,24073,Thomas ''Tom'' Allen,Liberal,Retired,17071,29.8,,,
Quebec,Sherbrooke,24073,Caroline Bouchard,Bloc Québécois,Self-employed ,11717,20.4,,,
Quebec,Sherbrooke,24073,Marc Dauphin,Conservative,Doctor,5391,9.4,,,
Quebec,Sherbrooke,24073,Sophie Malouin,Green,Yoga Instructor,1143,2,,,
Quebec,Sherbrooke,24073,Benoit Huberdeau,Independent,Placement Coordinator,303,0.5,,,
Quebec,Sherbrooke,24073,Hubert Richard,Rhinoceros,None,265,0.5,,,
Quebec,Terrebonne,24075,Michel Boudrias,Bloc Québécois,Retired Military Officer,19238,33,2922,5,337
Quebec,Terrebonne,24075,Michèle Audette,Liberal,Consultant,16316,28,,,
Quebec,Terrebonne,24075,Charmaine Borg,NDP,Parliamentarian,14928,25.6,,,
Quebec,Terrebonne,24075,Michel Surprenant,Conservative,Storekeeper,6615,11.3,,,
Quebec,Terrebonne,24075,Susan Moen,Green,Non Profit Consultant,1016,1.7,,,
Quebec,Terrebonne,24075,Louis Clément Sénat,Strength in Democracy,Public Servant,171,0.3,,,
Quebec,Thérèse-De Blainville,24013,Ramez Ayoub,Liberal,Mayor,18281,32.5,3043,5.4,93
Quebec,Thérèse-De Blainville,24013,Alain Marginean,Bloc Québécois,Retired education director,15238,27.1,,,
Quebec,Thérèse-De Blainville,24013,Alain Giguère,NDP,Lawyer,14022,24.9,,,
Quebec,Thérèse-De Blainville,24013,Manuel Puga,Conservative,Businessman,7000,12.4,,,
Quebec,Thérèse-De Blainville,24013,Andrew Carkner,Green,Engineer,1352,2.4,,,
Quebec,Thérèse-De Blainville,24013,Daniel Guindon,Libertarian,Crane Operator,355,0.6,,,
Quebec,Trois-Rivières,24076,Robert Aubin,NDP,Parliamentarian,19193,31.8,969,1.6,253
Quebec,Trois-Rivières,24076,Yvon Boivin,Liberal,Manager,18224,30.2,,,
Quebec,Trois-Rivières,24076,Dominic Therrien,Conservative,Lawyer,11231,18.6,,,
Quebec,Trois-Rivières,24076,André Valois,Bloc Québécois,Retired,10249,17,,,
Quebec,Trois-Rivières,24076,Éric Trottier,Green,Metallurgy and Metallurgical Eng. Technologist,1032,1.7,,,
Quebec,Trois-Rivières,24076,Maxime Rousseau,Libertarian,Computer Technician,360,0.6,,,
Quebec,Vaudreuil--Soulanges,24074,Peter Schiefke,Liberal,Al Gore Foundation Director,30550,46.6,15923,24.3,63
Quebec,Vaudreuil--Soulanges,24074,Jamie Nicholls,NDP,Parliamentarian,14627,22.3,,,
Quebec,Vaudreuil--Soulanges,24074,Vincent François,Bloc Québécois,Web Adaptation Technician,9858,15,,,
Quebec,Vaudreuil--Soulanges,24074,Marc Boudreau,Conservative,Lawyer,9048,13.8,,,
Quebec,Vaudreuil--Soulanges,24074,Jennifer Kaszel,Green,Cabinetmaker (Aerospace),1445,2.2,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Marc Miller,Liberal,Lawyer,25491,50.8,13734,27.4,72
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Allison Turner,NDP,Lawyer,11757,23.4,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Steve Shanahan,Conservative,City Councillor,5948,11.9,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Chantal St-Onge,Bloc Québécois,Teacher,4307,8.6,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Daniel Green,Green,Environmentalist,2398,4.8,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,Daniel Wolfe,Rhinoceros,Student,161,0.3,,,
Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,24077,William Sloan,Communist,Retired (lawyer),102,0.2,,,
Quebec,Vimy,24078,Eva Nassif,Liberal,Certified Translator,25082,46.2,13691,25.2,149
Quebec,Vimy,24078,France Duhamel,NDP,Businesswoman,11391,21,,,
Quebec,Vimy,24078,Barek Kaddouri,Bloc Québécois,Teacher,9068,16.7,,,
Quebec,Vimy,24078,Anthony Mavros,Conservative,Accountant,7262,13.4,,,
Quebec,Vimy,24078,José Núñez Melo,Green,Parliamentarian,1280,2.4,,,
Quebec,Vimy,24078,Brian Jenkins,Christian Heritage,Recruiter,260,0.5,,,
Ontario,Ajax,35001,Mark Holland,Liberal,Executive Director,31458,55.9,12084,21.5,36
Ontario,Ajax,35001,Chris Alexander,Conservative,Parliamentarian,19374,34.4,,,
Ontario,Ajax,35001,Stephanie Brown,NDP,Student,4630,8.2,,,
Ontario,Ajax,35001,Jeff Hill,Green,Journalist,788,1.4,,,
Ontario,Ajax,35001,Bob Kesic,United,Self-Employed,57,0.1,,,
Ontario,Algoma--Manitoulin--Kapuskasing,35002,Carol Hughes,NDP,Parliamentarian,16516,39.9,2405,5.8,300
Ontario,Algoma--Manitoulin--Kapuskasing,35002,Heather Wilson,Liberal,Controller,14111,34.1,,,
Ontario,Algoma--Manitoulin--Kapuskasing,35002,André Robichaud,Conservative,Economic Development Officer,9820,23.7,,,
Ontario,Algoma--Manitoulin--Kapuskasing,35002,Calvin John Orok,Green,Kinesiologist,927,2.2,,,
Ontario,Aurora--Oak Ridges--Richmond Hill,35003,Leona Alleslev,Liberal,Consultant,24132,47.3,1093,2.1,88
Ontario,Aurora--Oak Ridges--Richmond Hill,35003,Costas Menegakis,Conservative,Parliamentarian,23039,45.2,,,
Ontario,Aurora--Oak Ridges--Richmond Hill,35003,Brenda Power,NDP,Appeals Officer,2912,5.7,,,
Ontario,Aurora--Oak Ridges--Richmond Hill,35003,Randi Ramdeen,Green,Executive administrator,654,1.3,,,
Ontario,Aurora--Oak Ridges--Richmond Hill,35003,Kyle Bowles,Animal Alliance,Wildlife Sanctuary,243,0.5,,,
Ontario,Barrie--Innisfil,35004,John Brassard,Conservative,Retired,22901,46.4,4593,9.3,218
Ontario,Barrie--Innisfil,35004,Colin Wilson,Liberal,Federal Public Servant - Senior Advisor,18308,37.1,,,
Ontario,Barrie--Innisfil,35004,Myrna Clark,NDP,Retired Teacher ,5812,11.8,,,
Ontario,Barrie--Innisfil,35004,Bonnie North,Green,Consultant,1991,4,,,
Ontario,Barrie--Innisfil,35004,Gary Nail,Christian Heritage,Auto Worker,199,0.4,,,
Ontario,Barrie--Innisfil,35004,Jeff Sakula,Canadian Action,Retired,130,0.3,,,
Ontario,Barrie--Springwater--Oro-Medonte,35005,Alex Nuttall,Conservative,Financial Services,21091,41.7,86,0.2,314
Ontario,Barrie--Springwater--Oro-Medonte,35005,Brian Tamblyn,Liberal,Educator,21005,41.6,,,
Ontario,Barrie--Springwater--Oro-Medonte,35005,Ellen White,NDP,General Manager,5202,10.3,,,
Ontario,Barrie--Springwater--Oro-Medonte,35005,Marty Lancaster,Green,Teacher,2648,5.2,,,
Ontario,Barrie--Springwater--Oro-Medonte,35005,Darren Roskam,Libertarian,Graphic Designer,401,0.8,,,
Ontario,Barrie--Springwater--Oro-Medonte,35005,Ram Faerber,Independent,Business Owner - Operator,188,0.4,,,
Ontario,Bay of Quinte,35006,Neil Ellis,Liberal,Business,29281,50.7,9500,16.5,112
Ontario,Bay of Quinte,35006,Jodie Jenkins,Conservative,Sales Executive,19781,34.3,,,
Ontario,Bay of Quinte,35006,Terry Cassidy,NDP,Executive Director,7001,12.1,,,
Ontario,Bay of Quinte,35006,Rachel Nelems,Green,Candidate Support Administrator,1278,2.2,,,
Ontario,Bay of Quinte,35006,Trueman Tuck,Independent,Paralegal ,372,0.6,,,
Ontario,Beaches--East York,35007,Nathaniel Erskine-Smith,Liberal,Lawyer,27458,49.4,10345,18.6,113
Ontario,Beaches--East York,35007,Matthew Kellway,NDP,Parliamentarian,17113,30.8,,,
Ontario,Beaches--East York,35007,Bill Burrows,Conservative,Business Development Manager,9124,16.4,,,
Ontario,Beaches--East York,35007,Randall Sach,Green,Consultant,1433,2.6,,,
Ontario,Beaches--East York,35007,James Sears,Independent,Medical Investigator,254,0.5,,,
Ontario,Beaches--East York,35007,Roger Carter,Marxist-Leninist,Retiree,105,0.2,,,
Ontario,Beaches--East York,35007,Peter Surjanac,Independent,Banker,43,0.1,,,
Ontario,Brampton Centre,35008,Ramesh Sangha,Liberal,Lawyer,19277,48.6,5932,15,162
Ontario,Brampton Centre,35008,Bal Gosal,Conservative,Parliamentarian,13345,33.7,,,
Ontario,Brampton Centre,35008,Rosemary Keenan,NDP,Retired Teacher and Principal,5993,15.1,,,
Ontario,Brampton Centre,35008,Saul Marquard T. Bottcher,Green,Publisher,844,2.1,,,
Ontario,Brampton Centre,35008,Frank Chilelli,Marxist-Leninist,Teacher,173,0.4,,,
Ontario,Brampton East,35009,Raj Grewal,Liberal,Lawyer,23652,52.3,13010,28.8,124
Ontario,Brampton East,35009,Naval Bajaj,Conservative,Business Consultant,10642,23.5,,,
Ontario,Brampton East,35009,Harbaljit Singh Kahlon,NDP,Project Management Consultant,10400,23,,,
Ontario,Brampton East,35009,Kyle Lacroix,Green,Service Associate,512,1.1,,,
Ontario,Brampton North,35010,Ruby Sahota,Liberal,Lawyer,23297,48.4,7409,15.4,159
Ontario,Brampton North,35010,Parm Gill,Conservative,Parliamentarian,15888,33,,,
Ontario,Brampton North,35010,Martin Singh,NDP,Pharmacist,7946,16.5,,,
Ontario,Brampton North,35010,Pauline Thornham,Green,Teacher,915,1.9,,,
Ontario,Brampton North,35010,Harinderpal Hundal,Communist,Transportation,120,0.2,,,
Ontario,Brampton South,35011,Sonia Sidhu,Liberal,Diabetes Educator ,23681,52.1,7752,17.1,198
Ontario,Brampton South,35011,Kyle Seeback,Conservative,Parliamentarian,15929,35,,,
Ontario,Brampton South,35011,Amarjit Sangha,NDP,Television Host,4843,10.7,,,
Ontario,Brampton South,35011,Shaun Hatton,Green,"Director, business development",1011,2.2,,,
Ontario,Brampton West,35012,Kamal Khera,Liberal,Registered Nurse,24256,55.9,11188,25.8,48
Ontario,Brampton West,35012,Ninder Thind,Conservative,Executive Assistant,13068,30.1,,,
Ontario,Brampton West,35012,Adaoma Patterson,NDP,Civil Servant,5400,12.4,,,
Ontario,Brampton West,35012,Karthika Gobinath,Green,Public Servant,674,1.6,,,
Ontario,Brantford--Brant,35013,Phil McColeman,Conservative,Parliamentarian,25874,40.9,6452,10.2,216
Ontario,Brantford--Brant,35013,Danielle Takacs,Liberal,Government relations consultant,19422,30.7,,,
Ontario,Brantford--Brant,35013,Marc Laferriere,NDP,Professor,15715,24.8,,,
Ontario,Brantford--Brant,35013,Kevin Brandt,Green,Optometric technician,1582,2.5,,,
Ontario,Brantford--Brant,35013,Rob Ferguson,Libertarian,Advertiser,515,0.8,,,
Ontario,Brantford--Brant,35013,The Engineer Turmel,Independent,Banking Systems Engineer,164,0.3,,,
Ontario,Bruce--Grey--Owen Sound,35014,Larry Miller,Conservative,Parliamentarian,26297,46.7,4418,7.8,240
Ontario,Bruce--Grey--Owen Sound,35014,Kimberley Love,Liberal,Communications consultant,21879,38.8,,,
Ontario,Bruce--Grey--Owen Sound,35014,David McLaren,NDP,Writer ,6270,11.1,,,
Ontario,Bruce--Grey--Owen Sound,35014,Chris Albinati,Green,Lawyer,1887,3.3,,,
Ontario,Burlington,35015,Karina Gould,Liberal,Consultant,32229,46,2449,3.5,39
Ontario,Burlington,35015,Mike Wallace,Conservative,Parliamentarian,29780,42.5,,,
Ontario,Burlington,35015,David Laird,NDP,Vice-President CUPE 2314,6381,9.1,,,
Ontario,Burlington,35015,Vince Fiorito,Green,Information Technology Consultant,1710,2.4,,,
Ontario,Cambridge,35016,Bryan May,Liberal,General Manager,23024,43.2,2411,4.5,144
Ontario,Cambridge,35016,Gary Goodyear,Conservative,Parliamentarian,20613,38.6,,,
Ontario,Cambridge,35016,Bobbi Stewart,NDP,Retired Child Protection Worker,7397,13.9,,,
Ontario,Cambridge,35016,Michele Braniff,Green,Program Manager,1723,3.2,,,
Ontario,Cambridge,35016,Lee Sperduti,Independent,Automotive Assembler,474,0.9,,,
Ontario,Cambridge,35016,Manuel Couto,Marxist-Leninist,Industrial Worker,108,0.2,,,
Ontario,Carleton,35088,Pierre Poilievre,Conservative,Parliamentarian,27762,46.9,1849,3.1,186
Ontario,Carleton,35088,Chris Rodgers,Liberal,Policy Analyst,25913,43.7,,,
Ontario,Carleton,35088,Kc Larocque,NDP,Manager,3632,6.1,,,
Ontario,Carleton,35088,Deborah Coyne,Green,Policy Advisor,1932,3.3,,,
Ontario,Chatham-Kent--Leamington,35017,Dave Van Kesteren,Conservative,Parliamentarian,21677,41.7,2326,4.5,239
Ontario,Chatham-Kent--Leamington,35017,Katie Omstead,Liberal,Educator,19351,37.2,,,
Ontario,Chatham-Kent--Leamington,35017,Tony Walsh,NDP,Business consultant,9549,18.4,,,
Ontario,Chatham-Kent--Leamington,35017,Mark Vercouteren,Green,Unemployed,1394,2.7,,,
Ontario,Davenport,35018,Julie Dzerowicz,Liberal,Business Person,21947,44.3,1441,2.9,109
Ontario,Davenport,35018,Andrew Cash,NDP,Parliamentarian,20506,41.4,,,
Ontario,Davenport,35018,Carlos Oliveira,Conservative,Paralegal,5233,10.6,,,
Ontario,Davenport,35018,Dan Stein,Green,Lawyer,1530,3.1,,,
Ontario,Davenport,35018,Miguel Figueroa,Communist,Leader of Political Party,261,0.5,,,
Ontario,Davenport,35018,Chai Kalevar,Independent,Planetary Patriot,107,0.2,,,
Ontario,Don Valley East,35019,Yasmin Ratansi,Liberal,Accountant,24048,57.8,11893,28.6,60
Ontario,Don Valley East,35019,Maureen Harquail,Conservative,Lawyer,12155,29.2,,,
Ontario,Don Valley East,35019,Khalid Ahmed,NDP,Social Services Worker,4307,10.4,,,
Ontario,Don Valley East,35019,Laura Elizabeth Sanderson,Green,Retail Management - Food Service,1078,2.6,,,
Ontario,Don Valley North,35020,Geng Tan,Liberal,Chemist,23494,51.4,6215,13.6,232
Ontario,Don Valley North,35020,Joe Daniel,Conservative,Engineer,17279,37.8,,,
Ontario,Don Valley North,35020,Akil Sadikali,NDP,Software Developer,3896,8.5,,,
Ontario,Don Valley North,35020,Caroline Brown,Green,Campaign Coordinator,1018,2.2,,,
Ontario,Don Valley West,35021,Rob Oliphant,Liberal,Health Charity Executive,27472,53.8,8266,16.2,85
Ontario,Don Valley West,35021,John Carmichael,Conservative,Businessman,19206,37.6,,,
Ontario,Don Valley West,35021,Syeda Riaz,NDP,Student,3076,6,,,
Ontario,Don Valley West,35021,Natalie Hunt,Green,Operations Manager,848,1.7,,,
Ontario,Don Valley West,35021,John Kittredge,Libertarian,Retired,325,0.6,,,
Ontario,Don Valley West,35021,Elizabeth Hill,Communist,Retired,84,0.2,,,
Ontario,Don Valley West,35021,Sharon Cromwell,Independent,Security professional,75,0.1,,,
Ontario,Dufferin--Caledon,35022,David Allan Tilson,Conservative,Parliamentarian,27977,46.3,4334,7.2,201
Ontario,Dufferin--Caledon,35022,Ed Crewson,Liberal,Insurance Broker,23643,39.1,,,
Ontario,Dufferin--Caledon,35022,Nancy Urekar,Green,Retail Business Owner,4433,7.3,,,
Ontario,Dufferin--Caledon,35022,Rehya Yazbek,NDP,Staff Representative,4398,7.3,,,
Ontario,Durham,35023,Erin O'Toole,Conservative,Lawyer,28967,45.1,6018,9.4,312
Ontario,Durham,35023,Corinna Traill,Liberal,Lawyer,22949,35.8,,,
Ontario,Durham,35023,Derek Spence,NDP,Custodian,10289,16,,,
Ontario,Durham,35023,Stacey Leadbetter,Green,Law clerk,1616,2.5,,,
Ontario,Durham,35023,Andrew Moriarity,Christian Heritage,District Manager,364,0.6,,,
Ontario,Eglinton--Lawrence,35024,Marco Mendicino,Liberal,Lawyer,27278,48.9,3490,6.3,78
Ontario,Eglinton--Lawrence,35024,Joe Oliver,Conservative,Parliamentarian,23788,42.6,,,
Ontario,Eglinton--Lawrence,35024,Andrew Thomson,NDP,Business Person,3505,6.3,,,
Ontario,Eglinton--Lawrence,35024,Matthew Chisholm,Green,Community Organizer,799,1.4,,,
Ontario,Eglinton--Lawrence,35024,Ethan Buchman,Libertarian,Software Engineer,308,0.6,,,
Ontario,Eglinton--Lawrence,35024,Rudy Brunell Solomonovici,Animal Alliance,Book-Keeper,114,0.2,,,
Ontario,Elgin--Middlesex--London,35025,Karen Louise Vecchio,Conservative,Executive Assistant to the Member of Parliament,28023,49.2,10381,18.2,212
Ontario,Elgin--Middlesex--London,35025,Lori Baldwin-Sands,Liberal,Property Manager,17642,31,,,
Ontario,Elgin--Middlesex--London,35025,Fred Sinclair,NDP,Customer Service Representative,8771,15.4,,,
Ontario,Elgin--Middlesex--London,35025,Bronagh Joyce Morgan,Green,Legal Writer,1783,3.1,,,
Ontario,Elgin--Middlesex--London,35025,Michael Hopkins,Christian Heritage,Machinist,529,0.9,,,
Ontario,Elgin--Middlesex--London,35025,Lou Bernardi,Rhinoceros,Student and Software Developer,185,0.3,,,
Ontario,Essex,35026,Tracey Ramsey,NDP,Auto Assembler,25072,41.4,3470,5.7,257
Ontario,Essex,35026,Jeff Watson,Conservative,Parliamentarian,21602,35.7,,,
Ontario,Essex,35026,Audrey Festeryga,Liberal,Lawyer,12639,20.9,,,
Ontario,Essex,35026,Jennifer Alderson,Green,Postal worker,1141,1.9,,,
Ontario,Essex,35026,Enver Villamizar,Marxist-Leninist,Teacher,77,0.1,,,
Ontario,Etobicoke Centre,35027,Borys Wrzesnewskyj,Liberal,Business Person ,32612,52.8,9542,15.4,61
Ontario,Etobicoke Centre,35027,Ted Opitz,Conservative,Parliamentarian,23070,37.3,,,
Ontario,Etobicoke Centre,35027,Tanya De Mello,NDP,University Administrator,4886,7.9,,,
Ontario,Etobicoke Centre,35027,Shawn Rizvi,Green,Consultant,856,1.4,,,
Ontario,Etobicoke Centre,35027,Rob Wolvin,PC,Locations Support ¿ Film and Television,378,0.6,,,
Ontario,Etobicoke North,35029,Kirsty Duncan,Liberal,Parliamentarian,26251,62.4,16578,39.4,45
Ontario,Etobicoke North,35029,Toyin Dada,Conservative,"Social worker, Non Profit Management",9673,23,,,
Ontario,Etobicoke North,35029,Faisal Hassan,NDP,Executive Assistant,5220,12.4,,,
Ontario,Etobicoke North,35029,Akhtar Ayub,Green,Service Consultant,524,1.2,,,
Ontario,Etobicoke North,35029,Anna Di Carlo,Marxist-Leninist,Relocation Counselor,232,0.6,,,
Ontario,Etobicoke North,35029,George Szebik,Independent,Salesman,164,0.4,,,
Ontario,Etobicoke--Lakeshore,35028,James Maloney,Liberal,Lawyer,34638,53.7,13706,21.2,142
Ontario,Etobicoke--Lakeshore,35028,Bernard Trottier,Conservative,Parliamentarian,20932,32.4,,,
Ontario,Etobicoke--Lakeshore,35028,Phil Trotter,NDP,Lawyer,7030,10.9,,,
Ontario,Etobicoke--Lakeshore,35028,Angela Salewsky,Green,Business Development Manager,1507,2.3,,,
Ontario,Etobicoke--Lakeshore,35028,Liz White,Animal Alliance,Animal and Environmental Protection,233,0.4,,,
Ontario,Etobicoke--Lakeshore,35028,Janice Murray,Marxist-Leninist,Bindery Operator,168,0.3,,,
Ontario,Flamborough--Glanbrook,35030,David Sweet,Conservative,Parliamentarian,24137,43.5,2409,4.3,243
Ontario,Flamborough--Glanbrook,35030,Jennifer Stebbing,Liberal,Lawyer,21728,39.1,,,
Ontario,Flamborough--Glanbrook,35030,Mike DiLivio,NDP,Electrician,7779,14,,,
Ontario,Flamborough--Glanbrook,35030,David Allan Urquhart,Green,Retired,1866,3.4,,,
Ontario,Glengarry--Prescott--Russell,35031,Francis Drouin,Liberal,Lobbyist,34189,53.3,10822,16.9,107
Ontario,Glengarry--Prescott--Russell,35031,Pierre Lemieux,Conservative,Parliamentarian,23367,36.4,,,
Ontario,Glengarry--Prescott--Russell,35031,Normand Laurin,NDP,IT Consultant,5087,7.9,,,
Ontario,Glengarry--Prescott--Russell,35031,Genevieve Malouin-Diraddo,Green,Freelance Graphic Designer,1153,1.8,,,
Ontario,Glengarry--Prescott--Russell,35031,Jean-Serge Brisson,Libertarian,Self-employed,377,0.6,,,
Ontario,Guelph,35032,Lloyd Longfield,Liberal,Management Consultant,34303,49.1,15896,22.8,140
Ontario,Guelph,35032,Gloria Kovach,Conservative,Nurse,18407,26.3,,,
Ontario,Guelph,35032,Andrew Seagram,NDP,School Board Administrator,8392,12,,,
Ontario,Guelph,35032,Gord Miller,Green,Consultant,7909,11.3,,,
Ontario,Guelph,35032,Alexander Fekri,Libertarian,Student,520,0.7,,,
Ontario,Guelph,35032,Kornelis Klevering,Radical Marijuana,Groundskeeper,193,0.3,,,
Ontario,Guelph,35032,Tristan Dineen,Communist,University of Guelph Student Association CEO,144,0.2,,,
Ontario,Haldimand--Norfolk,35033,Diane Finley,Conservative,Parliamentarian,24714,44.1,4227,7.5,170
Ontario,Haldimand--Norfolk,35033,Joan Mouland,Liberal,Lawyer,20487,36.6,,,
Ontario,Haldimand--Norfolk,35033,John Harris,NDP,IT Technician,7625,13.6,,,
Ontario,Haldimand--Norfolk,35033,Wayne Ettinger,Green,Businessman,1857,3.3,,,
Ontario,Haldimand--Norfolk,35033,Dave Bylsma,Christian Heritage,Woodworking,884,1.6,,,
Ontario,Haldimand--Norfolk,35033,Dustin Wakeford,Independent,Self-Employed,272,0.5,,,
Ontario,Haldimand--Norfolk,35033,Leslie Bory,Independent,Machinist,151,0.3,,,
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Jamie Schmale,Conservative,Political Staff,27718,44.8,8084,13.1,316
Ontario,Haliburton--Kawartha Lakes--Brock,35034,David Marquis,Liberal,Self-employed,19634,31.8,,,
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Mike Perry,NDP,"Lawyer, Social Worker",12012,19.4,,,
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Bill MacCallum,Green,Teacher,2470,4,,,
Ontario,Hamilton Centre,35035,David Christopherson,NDP,Parliamentarian,18719,45.6,5001,12.2,192
Ontario,Hamilton Centre,35035,Anne Tennier,Liberal,Engineer,13718,33.4,,,
Ontario,Hamilton Centre,35035,Yonatan Rozenszajn,Conservative,Lawyer,6018,14.6,,,
Ontario,Hamilton Centre,35035,Ute Schmid-Jones,Green,Communication Specialist,1778,4.3,,,
Ontario,Hamilton Centre,35035,Michael James Baldasaro,Radical Marijuana,Minister,348,0.8,,,
Ontario,Hamilton Centre,35035,Rob Young,Libertarian,CEO,316,0.8,,,
Ontario,Hamilton Centre,35035,Maria Anastasiou,Independent,Early Childhood Educator,186,0.5,,,
Ontario,Hamilton East--Stoney Creek,35036,Bob Bratina,Liberal,Broadcaster,19622,39,3157,6.3,100
Ontario,Hamilton East--Stoney Creek,35036,Wayne Marston,NDP,Parliamentarian,16465,32.7,,,
Ontario,Hamilton East--Stoney Creek,35036,Diane Bubanko,Conservative,Entrepreneur,12715,25.3,,,
Ontario,Hamilton East--Stoney Creek,35036,Erin Davis,Green,Financial Advisor,1305,2.6,,,
Ontario,Hamilton East--Stoney Creek,35036,Bob Mann,Communist,Retired Steelworker,170,0.3,,,
Ontario,Hamilton East--Stoney Creek,35036,Wendell Fields,Marxist-Leninist,Unemployed,55,0.1,,,
Ontario,Hamilton Mountain,35037,Scott Duvall,NDP,City Councillor,18146,35.9,1213,2.4,252
Ontario,Hamilton Mountain,35037,Shaun Burt,Liberal,Teacher,16933,33.5,,,
Ontario,Hamilton Mountain,35037,Al Miles,Conservative,Youth Worker,12991,25.7,,,
Ontario,Hamilton Mountain,35037,Raheem Aman,Green,Student,1283,2.5,,,
Ontario,Hamilton Mountain,35037,Andrew James Caton,Libertarian,Realtor,763,1.5,,,
Ontario,Hamilton Mountain,35037,Jim Enos,Christian Heritage,Civil Engineering Technologist,438,0.9,,,
Ontario,Hamilton West--Ancaster--Dundas,35038,Filomena Tassi,Liberal,Chaplain,29694,47.7,9873,15.9,108
Ontario,Hamilton West--Ancaster--Dundas,35038,Vincent Samuel,Conservative,Director of Clinical Services ,19821,31.8,,,
Ontario,Hamilton West--Ancaster--Dundas,35038,Alex Johnstone,NDP,Public School Board Trustee,10131,16.3,,,
Ontario,Hamilton West--Ancaster--Dundas,35038,Peter Ormond,Green,Engineer,2633,4.2,,,
Ontario,Hastings--Lennox and Addington,35039,Mike Bossio,Liberal,Recruiter,21104,42.4,225,0.5,99
Ontario,Hastings--Lennox and Addington,35039,Daryl Kramp,Conservative,Parliamentarian,20879,41.9,,,
Ontario,Hastings--Lennox and Addington,35039,Betty Bannon,NDP,Retired,6348,12.7,,,
Ontario,Hastings--Lennox and Addington,35039,Cam Mather,Green,Farmer,1466,2.9,,,
Ontario,Humber River--Black Creek,35121,Judy Sgro,Liberal,Parliamentarian,23995,66.9,16767,46.8,30
Ontario,Humber River--Black Creek,35121,Kerry Vandenberg,Conservative,Canadian Armed Forces Officer,7228,20.2,,,
Ontario,Humber River--Black Creek,35121,Darnel Harris,NDP,Student,3851,10.7,,,
Ontario,Humber River--Black Creek,35121,Keith Jarrett,Green,Student,584,1.6,,,
Ontario,Humber River--Black Creek,35121,Christine Nugent,Marxist-Leninist,College Instructor,201,0.6,,,
Ontario,Huron--Bruce,35040,Ben Lobb,Conservative,Parliamentarian,26174,44.9,3045,5.2,245
Ontario,Huron--Bruce,35040,Allan Thompson,Liberal,University Professor,23129,39.7,,,
Ontario,Huron--Bruce,35040,Gerard Creces,NDP,Journalist,7544,13,,,
Ontario,Huron--Bruce,35040,Jutta Splettstoesser,Green,Farm Business Manager,1398,2.4,,,
