Province,Electoral District Name,Electoral District Number,Candidate,Candidate Affiliation,Candidate Occupation,Votes Obtained,Percentage of Votes Obtained,Majority,Majority Percentage,Seat Assignment
Quebec,Berthier--Maskinongé,24012,Pierre Destrempes,Liberal,Real Estate Businessman,11032,20.3,,,
Quebec,Berthier--Maskinongé,24012,Marianne Foucrault,Conservative,Student,5548,10.2,,,
Quebec,Berthier--Maskinongé,24012,Cate Burton,Green,Student,847,1.6,,,
Quebec,Bourassa,24015,Emmanuel Dubourg,Liberal,Chartered Professional Accountant,22234,54.1,15185,36.9,86
Quebec,Bourassa,24015,Gilles Léveillé,Bloc Québécois,Retired,7049,17.1,,,
Quebec,Bourassa,24015,Dolmine Laguerre,NDP,Public Servant,6144,14.9,,,
Quebec,Bourassa,24015,Jason Potasso-Justino,Conservative,Unemployed,3819,9.3,,,
Quebec,Bourassa,24015,Maxime Charron,Green,Business Consulting,886,2.2,,,
Quebec,Bourassa,24015,Julie Demers,Independent,Writer-Translator,669,1.6,,,
Quebec,Bourassa,24015,Claude Brunelle,Marxist-Leninist,Retired,229,0.6,,,
Quebec,Bourassa,24015,Jean-Marie Floriant Ndzana,Strength in Democracy,Strategy Consultant,99,0.2,,,
Quebec,Brome--Missisquoi,24016,Denis Paradis,Liberal,Lawyer,25744,43.9,11361,19.4,56
Quebec,Brome--Missisquoi,24016,Catherine Lusson,NDP,Political Attaché,14383,24.5,,,
Quebec,Brome--Missisquoi,24016,Patrick Melchior,Bloc Québécois,Director Youth Centre,10252,17.5,,,
Quebec,Brome--Missisquoi,24016,Charles Poulin,Conservative,Financial Security Advisor,6724,11.5,,,
Quebec,Brome--Missisquoi,24016,Cindy Moynan,Green,Computer Manufacturing Operator,1377,2.3,,,
Quebec,Brome--Missisquoi,24016,Patrick Paine,Strength in Democracy,Consultant,195,0.3,,,
Quebec,Brossard--Saint-Lambert,24017,Alexandra Mendès,Liberal,Politician,28818,50.3,14743,25.7,84
Quebec,Brossard--Saint-Lambert,24017,Hoang Mai,NDP,Parliamentarian,14075,24.6,,,
Quebec,Brossard--Saint-Lambert,24017,Qais Hamidi,Conservative,Businessman,7215,12.6,,,
Quebec,Brossard--Saint-Lambert,24017,Suzanne Lachance,Bloc Québécois,Retired,6071,10.6,,,
Quebec,Brossard--Saint-Lambert,24017,Fang Hu,Green,Engineer,1081,1.9,,,
Quebec,Charlesbourg--Haute-Saint-Charles,24019,Pierre Paul-Hus,Conservative,Publisher,24608,42.2,11083,19,206
Quebec,Charlesbourg--Haute-Saint-Charles,24019,Jean Côté,Liberal,Marketing and Communications Consultant,13525,23.2,,,
Quebec,Charlesbourg--Haute-Saint-Charles,24019,Anne-Marie Day,NDP,Parliamentarian,11690,20.1,,,
Quebec,Charlesbourg--Haute-Saint-Charles,24019,Marc Antoine Turmel,Bloc Québécois,Student,7177,12.3,,,
Quebec,Charlesbourg--Haute-Saint-Charles,24019,Nathalie Baudet,Green,Housewife,1256,2.2,,,
Quebec,Châteauguay--Lacolle,24021,Brenda Shanahan,Liberal,Financial Educator,20245,39.1,7630,14.7,166
Quebec,Châteauguay--Lacolle,24021,Sophie Stanké,Bloc Québécois,Instructor,12615,24.4,,,
Quebec,Châteauguay--Lacolle,24021,Sylvain Chicoine,NDP,Parlementarian,11986,23.1,,,
Quebec,Châteauguay--Lacolle,24021,Philippe St-Pierre,Conservative,Municipal Officer,5805,11.2,,,
Quebec,Châteauguay--Lacolle,24021,Jency Mercier,Green,STM Driver,982,1.9,,,
Quebec,Châteauguay--Lacolle,24021,Linda Sullivan,Marxist-Leninist,Project Manager,149,0.3,,,
Quebec,Chicoutimi--Le Fjord,24022,Denis Lemieux,Liberal,Retired,13619,31.1,600,1.4,136
Quebec,Chicoutimi--Le Fjord,24022,Dany Morin,NDP,Parliamentarian,13019,29.7,,,
Quebec,Chicoutimi--Le Fjord,24022,Élise Gauthier,Bloc Québécois,Retired,8990,20.5,,,
Quebec,Chicoutimi--Le Fjord,24022,Caroline Ste-Marie,Conservative,Lawyer,7270,16.6,,,
Quebec,Chicoutimi--Le Fjord,24022,Dany St-Gelais,Green,Music Teacher,907,2.1,,,
